name,description,who_add,twogis_nav,google_nav,yandex_nav,photo,coordinates,time_to_visit,price,working_hours,number_of_reviews_in_gm,average_gm_rating,number_of_ta_reviews,average_ta_rating,architectural_structure,natural_beauty,religious_object,museum_exhibition,park_square,art_object,little_know_place,party,entertainment_place,_,history,classical_art,contemporary_art,music,movie,literature,technologies,religion,sport,fashion,photos
Государственный Эрмитаж,"Музей изобразительного и декоративно-прикладного искусства, расположенный в городе Санкт-Петербурге Российской Федерации. Основан 7 декабря 1764 года. Является одним из крупнейших художественных музеев в мире.",IVAN,https://2gis.ru/spb/firm/5348552838624592,https://goo.gl/maps/p7TuMgNjRZcYtiXJA,https://yandex.ru/maps/-/CCUafKWSHA,20,"GPS: 59,941094, 30,315315",180,400,10:30-18:00,51700,4.8,26500,4.5,+,-,-,+,-,-,-,-,-,,+,+,-,-,-,+,-,-,-,-,+
Дворцовая площадь,"Центральная площадь Санкт-Петербурга c Александровской колонной, воздвигнутой в честь победы над Наполеоном.",IVAN,https://2gis.ru/spb/geo/5348711752272241,https://goo.gl/maps/BRQ5gScsrDqhQoTi6,https://yandex.ru/maps/-/CCUafKcICC,21,"GPS: 59,939305, 30,315425",60,0,00:00-24:00,72400,4.9,5400,4.5,+,-,-,-,-,-,-,-,-,,+,+,-,-,-,-,-,-,-,-,+
Дворцовый мост,"Разводной мост начала XX века через реку Неву, по которому можно попасть на Васильевский остров.",IVAN,https://2gis.ru/spb/geo/5348720342208221,https://goo.gl/maps/RXUrMMKEv6HZL8UV6,https://yandex.ru/maps/-/CCUafKcnwA,22,"GPS: 59,941194, 30,308074",60,0,00:00-24:00,985,4.9,1636,4.5,+,-,-,-,-,-,-,-,-,,+,-,-,-,-,-,+,-,-,-,+
Казанский собор,Один из крупнейших храмов Санкт-Петербурга. Построен на Невском проспекте в 1801-1811 годах архитектором Андреем Воронихиным для хранения чтимого списка чудотворной иконы Божией Матери Казанской. После Отечественной войны 1812 года приобрёл значение памятника русской воинской славы. В 1813 году здесь был похоронен полководец Михаил Илларионович Кутузов и помещены ключи от взятых городов и другие военные трофеи.,IVAN,https://2gis.ru/spb/firm/5348552839185471,https://goo.gl/maps/3pz8yUXRu6CJoEgZ7,https://yandex.ru/maps/-/CCUafKgAHC,23,"GPS: 59,934368, 30,324557",120,300,8:45-19:45,28700,4.9,4140,4.5,+,-,+,-,-,-,-,-,-,,+,+,-,-,-,-,-,+,-,-,-
Стрелка Васильевского острова,Архитектурный ансамбль 1810 года у реки: центральное здание в стиле греческих храмов и две римские колонны.,IVAN,https://2gis.ru/spb/geo/5348711752271399,https://goo.gl/maps/yARCHhq1Rm5gMumR6,https://yandex.ru/maps/-/CCUafKg2wC,24,"GPS: 59,944298, 30,307249",60,0,00:00-24:00,6500,4.9,653,4.5,-,+,-,-,+,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,+
Кунсткамера,"Кабинет редкостей, в настоящее время - Музей антропологии и этнографии имени Петра Великого Российской академии наук - первый музей России, учреждённый императором Петром Великим и находящийся в Санкт-Петербурге.",IVAN,https://2gis.ru/spb/branches/5348561428500330,https://goo.gl/maps/XSizRRgSpzJcyDUC9,https://yandex.ru/maps/-/CCUafKsR0B,25,"59,941517, 30,304204",120,250,11:00-18:00,18500,4.4,716,4,-,-,-,+,-,-,-,-,-,,+,-,-,-,-,-,-,-,-,-,-
"Ротонда (Гороховая, 57)","Жилой дом, получивший широкую известность благодаря необычному устройству парадного входа в корпус по набережной Фонтанки в виде трёхъярусной внутренней ротонды, которая считается одним из самых мистических мест Санкт-Петербурга из-за городских легенд о, якобы, проводившихся в ней масонских ритуалах.",Артур,https://2gis.ru/spb/geo/5348720342205851,https://g.page/rotonda57?share,https://yandex.ru/maps/-/CCUafKsL1A,1,"@59.925885, 30.325645,15z/",30,50,11:00-22:00,1356,4.5,38,4,+,-,-,-,-,+,+,-,-,,-,-,-,-,-,-,-,-,-,-,-
Церковь Анненкирхе,"Церковь Святой Анны или Анненкирхе - это древнейший лютеранский храм в Санкт-Петербурге. В 2002 году случился страшный пожар, который практически полностью уничтожил здание: остались только голые каменные стены. Позже состоялась внешняя реставрация, однако, внутри церковь остается выгоревшей по сей день. ",Артур,https://2gis.ru/spb/firm/70000001007303132,https://goo.gl/maps/tvXk25FfXymAbT3HA,https://yandex.ru/maps/-/CCUafKwbXB,2,"@59.9446434, 30.3519349,15z",60,0,"вт – ср с 10:00 до 22:00
чт – вс с 10:00 до 16:00
пн – выходной",2793,4.8,0,0,+,-,+,-,-,-,+,-,-,,-,+,-,-,-,-,-,+,-,-,+
Санкт-Петербургская соборная мечеть,"Культовое сооружение в Санкт-Петербурге. Является памятником архитектуры, стиль северный модерн. Главная мечеть Российской империи, крупнейшая мечеть в европейской части Российской империи.",Артур,https://2gis.ru/spb/firm/5348552838727682,https://goo.gl/maps/gJXna8sH5o38CMv37,https://yandex.ru/maps/-/CCUafKDU-A,3,"@59.9551639, 30.3239659,15z",60,0,10:00–17:00,3757,4.7,193,4.5,+,-,+,-,-,-,-,-,-,,-,+,-,-,-,-,-,+,-,-,-
Республика котов,"""Республика котов"" на Литейном пр., 60 — крупнейшее котокафе Европы, в котором могут жить одновременно до 40 кошек и котов, и каждый из них ищет новый дом.",Артур,https://2gis.ru/spb/firm/70000001025986977,https://g.page/Kotokafe_Respublika_kotov?share,https://yandex.ru/maps/-/CCUafKDOcB,4,"@59.9336117, 30.3493244,15z",60,300,10:00-22:00,1381,4.5,69,4,-,-,-,-,-,-,+,-,+,,-,-,-,-,-,-,-,-,-,-,-
Республика кошек,"""Республика кошек"" на Якубовича, 10 — первое в России котокафе и центр Котокультурной столицы страны с 2011 года. Филиал первого в России Музея Кошки.",Артур,https://2gis.ru/spb/firm/70000001018165811,https://g.page/Kotokafe_Respublika_koshek?share,https://yandex.ru/maps/-/CCUafKHAoD,5,"@59.9330938, 30.301274,15z",60,300-500,10:00-22:00,1629,4.5,344,4.5,-,-,-,-,-,-,+,-,+,,-,-,-,-,-,-,-,-,-,-,-
Парк 300-летия Санкт-Петербурга,"Открытая территория с просторным пляжем, тенистыми аллеями и чистым морским воздухом. Находится непосредственно рядом с Финским заливом.",Артур,https://2gis.ru/spb/firm/5348552840728862,https://goo.gl/maps/bdz9fb8BHpL3iVhj6,https://yandex.ru/maps/-/CCUafKHNsA,6,"@59.983525, 30.1943977,15z",180,0,07:00–23:00,35613,4.7,207,4.5,-,+,-,-,+,-,-,-,-,,+,-,-,-,-,-,-,-,-,-,+
Лахта-центр,"Современный общественно-деловой комплекс, строящийся в Санкт-Петербурге. Доминанта комплекса – 462-метровый самый северный небоскреб в мире.",Артур,https://2gis.ru/spb/geo/5348660212839445/,https://goo.gl/maps/46jHwmE4tBTFNfNA6,https://yandex.ru/maps/-/CCUafKHsKB,7,"@59.9925791, 30.153814,13.57z",60,0,08:00–20:00,1603,4.4,0,0,-,-,-,-,+,-,-,-,-,,-,-,-,-,-,-,+,-,-,-,+
ЧБКафе,"Кафе в формате 2D, где можно выпить кофе или чай с десертом, а такж е сделать необычные фотографии",Артур,https://2gis.ru/spb/firm/70000001040203850,https://g.page/cafe2d?share,https://yandex.ru/maps/-/CCUafKT5KC,8,"@59.941675, 30.3204751,15z",60,500,10:00–22:00,294,4.3,6,4.5,-,-,-,-,-,+,+,-,-,,-,-,-,-,-,-,-,-,-,-,-
Блошиный рынок на Удельной,"Знаменитый блошиный рынок на Удельной. Приходить сюда стоит по выходным и ближе к обеду. На рынке можно найти практически всё, если хорошо, конечно, искать. ",Артур,https://2gis.ru/spb/firm/70000001032018960,https://goo.gl/maps/xZqPTWqwmfc37D6t9,https://yandex.ru/maps/-/CCUafKT1hB,9,"@60.023483, 30.3096578,15z",60,0,09:00–17:00,5712,4.3,114,4,-,-,-,-,-,-,+,-,-,,-,-,-,-,-,-,-,-,-,-,-
Летний сад ,"Парковый ансамбль, памятник садово-паркового искусства первой трети XVIII века в Центральном районе Санкт-Петербурга. Сад был заложен по повелению Петра I в 1704 году и первоначально был регулярным. Занимает отдельный одноименный остров, омываемый реками Невой, Фонтанкой, Мойкой и Лебяжьей канавкой.",Аркадий,https://2gis.ru/spb/geo/5348711752270181,https://goo.gl/maps/hMjM8CdCVctVj9rw7,https://yandex.ru/maps/-/CCUafKXN9C,10,"59.9452000638965, 30.3350114822388",60,0,ПН 10:00-22:00 СР-ВС 10:00-22:00,27165,4.8,865,4.5,-,+,-,-,+,-,-,-,-,,+,-,-,-,-,-,-,-,-,-,+
Мариинский театр,"Главная петербургская оперная сцена, одно из знаковых культурных мест города. Театр появился в середине XIX века по указу Александра II, который пожелал дать ему имя в честь своей супруги Марии Александровны. Над проектом работал мастер Альберто Кавоса. Постановки «Мариинки» пользуются большой популярностью у иностранных туристов, многие с удовольствием приходят сюда послушать настоящую русскую оперу.",Аркадий,https://2gis.ru/spb/firm/5348552838597140,https://goo.gl/maps/nTwX7efG5sBdKUig8,https://yandex.ru/maps/-/CCUafKXx-C,11,"59.925491333,30.295930862",120,2000,11:00-19:00,16500,4.8,2100,4.5,+,-,-,-,-,-,-,-,+,,-,+,+,-,-,-,-,-,-,-,-
Государственный русский музей,"Самый крупный в мире музей русского изобразительного искусства. Открылся в конце XIX в. во время царствования Николая II. Коллекцию составили из переданных экспонатов Эрмитажа, Александровского дворца, Академии художеств, а также из частных коллекций некоторых русских аристократов.
",Аркадий,https://2gis.ru/spb/firm/5348552838624575,https://goo.gl/maps/H7b4gDQd8SC6iV5g8,https://yandex.ru/maps/-/CCUafKdO1D,12,"60.206508636,29.714387894",120,400,10:00-18:00,14500,4.8,3200,4.5,+,-,-,+,-,-,-,-,-,,+,+,-,-,-,-,-,-,-,-,-
Музей Эрарта,"Первый частный музей современного искусства в Санкт-Петербурге, принимает посетителей с 2010 года. Название образовано от словосочетания «эра арта», то есть «эра искусства». Среди 3 тысяч экспонатов нашлось место живописи, скульптуре, видеоарту и инсталляциям.",Аркадий,https://2gis.ru/spb/firm/5348552839297430,https://goo.gl/maps/xSRAv1LXsh5cuHhHA,https://yandex.ru/maps/-/CCUafKhFpC,13,"59.931896, 30.251621",120,1000,10:00-22:00 кроме вторника,14500,4.7,1200,4.5,-,-,-,+,-,+,-,-,+,,-,-,+,-,-,-,-,-,-,-,-
Петропавловская крепость,"Старейший памятник архитектуры Санкт-Петербурга, крепость I класса. Расположена на Заячьем острове, в Санкт-Петербурге, историческое ядро города. Дата закладки крепости 27 мая 1703 года, является датой основания Санкт-Петербурга. Никогда не использовалась ни в одном сражении. С первой четверти XVIII века до начала 1920-х годов служила тюрьмой. С 1924 года является государственным музеем.",Аркадий,https://2gis.ru/spb/geo/70030076143922670,https://goo.gl/maps/6uvoXSz9tiLuo6Dx5,https://yandex.ru/maps/-/CCUafKh2XA,14,"59.950036, 30.316636",120,0,10:00-16:00,38000,4.8,5000,4.5,+,-,-,+,-,-,-,-,-,,+,-,-,-,-,-,-,-,-,-,-
Михайловский замок,"Построен по приказу Павла I в центре Санкт-Петербурга на рубеже XVIII-XIX веков. Император хотел обрести новый дом, опасаясь дворцовых переворотов. По иронии, именно в новом замке он и был убит.",Аркадий,https://2gis.ru/spb/firm/5348552838625014,https://goo.gl/maps/YZRnjPvu8h3q7ZEf7,https://yandex.ru/maps/-/CCUafKtVTA,15,"59.9404, 30.3377",60,400,"10:00-18:00, 13:00-21:00 четверг, 10:00-21:00 пятница, вторник закрыто",5600,4.7,350,4.5,+,-,-,+,-,-,-,-,-,,+,-,-,-,-,-,-,-,-,-,-
Исаакиевский собор,"Величественный собор, украшение города и крупнейший православный храм в Санкт-Петербурге. Стройка велась под личным кураторством Николая I по проекту О. Монферрана.",Аркадий,https://2gis.ru/spb/branches/5348561428500008,https://goo.gl/maps/gDxx1DLgjm2GJeLC9,https://yandex.ru/maps/-/CCUafKt93A,16,"59.933900, 30.306474",60,400,"10:30-18:00, среда закрыто",43000,4.9,10000,4.5,+,-,+,-,-,-,-,-,-,,+,-,-,-,-,-,-,+,-,-,-
Храм Спаса-на-крови,"Храм, возведенный Александром III на месте убийства царя-реформатора Александра II. Высота сооружения составляет 81 метр, что соответствует дате трагического события – 1881 году. Собор был готов к 1907 году.",Аркадий,https://2gis.ru/spb/firm/5348552838629753,https://goo.gl/maps/12KYHkjb59feTDpk8,https://yandex.ru/maps/-/CCUafOE~9C,17,"59.94011, 30.328961",60,400,"10:30-18:00, среда закрыто",34000,4.8,22000,5,+,-,+,-,-,-,-,-,-,,+,-,-,-,-,-,-,+,-,-,-
Медный всадник,"Монумент, посвященный основателю города Петру Великому, расположенный на Сенатской площади. Медный Всадник появился по желанию императрицы Екатерины II. Она задумала увековечить образ Петра в величественной фигуре со скипетром, облаченной в одежды римского императора, но скульптор Фальконе думал иначе.",Аркадий,https://2gis.ru/spb/geo/5348720342204601/,https://goo.gl/maps/kGQVKre26tKK2jUZ9,https://yandex.ru/maps/-/CCUafOQFHC,18,"59.936429°, 30.30216°",30,0,00:00-24:00,17500,4.9,1400,4.5,+,-,-,-,+,-,-,-,-,,+,-,-,-,-,-,-,-,-,-,-
